month,depth,temperature,salinity,density,oxygen
Jan,0,21.2667394366197,36.72535,25.7336594059182,217.49
Jan,10,21.020409765625,36.688003515625,25.7749787389639,218.476397637795
Jan,20,21.016403125,36.6900828125,25.7781601090006,218.3945703125
Jan,30,21.0069720930233,36.6892697674419,25.7806949450739,218.360387596899
Jan,40,20.9975317829457,36.6896201550388,25.7840974321586,218.27688372093
Jan,50,20.9781813953488,36.6875147286822,25.7884081903484,218.226821705426
Jan,60,20.9655100775194,36.6874279069767,25.7923888473789,218.142496124031
Jan,70,20.9476821705426,36.6866465116279,25.7972467359539,218.033658914729
Jan,80,20.9303736434109,36.6862062015504,25.8022076407219,217.944496124031
Jan,90,20.898823255814,36.6840108527132,25.8097070482693,217.568651162791
Jan,100,20.8398852713178,36.6827953488372,25.8254355492435,216.962821705426
Jan,110,20.6932310077519,36.6794170542636,25.8634731562173,215.923348837209
Jan,120,20.4699689922481,36.6731286821705,25.9200486323975,214.069054263566
Jan,130,20.225023255814,36.6697069767442,25.9840818677266,211.563255813954
Jan,140,20.0090338501292,36.6687894056848,26.0415857366359,208.150062015504
Jan,150,19.7214046511628,36.6593534883721,26.1112885725507,204.444992248062
Jan,160,19.4488248062016,36.6472449612403,26.1744328947678,201.902527131783
Jan,170,19.2723503875969,36.6374201550388,26.213621688308,201.304124031008
Jan,180,19.1495085271318,36.6298093023256,26.2402342840416,201.356992248062
Jan,190,19.0507627906977,36.6232542635659,26.2612407909508,201.640651162791
Jan,200,18.9661860465116,36.6169627906977,26.2787175885689,202.088170542636
Jan,210,18.891023255814,36.611184496124,26.2940784694411,202.483348837209
Jan,220,18.8208449612403,36.6057224806202,26.3083358900312,202.717472868217
Jan,230,18.761096124031,36.6013612403101,26.3207247606105,203.09919379845
Jan,240,18.7099612403101,36.5972759689923,26.3310985379626,203.428449612403
Jan,250,18.6636930232558,36.5938170542636,26.3406903672646,203.675364341085
Jan,260,18.6150881136951,36.5898932816538,26.3505296362707,203.816149870801
Jan,270,18.5698046511628,36.5859751937985,26.3594994645981,203.797534883721
Jan,280,18.5249162790698,36.5820511627907,26.3683175792573,203.680480620155
Jan,290,18.4810930232558,36.5783937984496,26.3770557483062,203.605271317829
Jan,300,18.4396620155039,36.5748294573644,26.3852416679973,203.464093023256
Jan,310,18.3941937984496,36.5700093023256,26.3934504763485,203.227085271318
Jan,320,18.3505906976744,36.5654248062016,26.4013465152148,203.182093023256
Jan,330,18.3063875968992,36.5604868217054,26.4091030771961,202.940263565892
