longitude,latitude
-64.67609616,32.38865795
-64.64763071,32.36822798
-64.65538236,32.35931358
-64.65576994,32.35039918
-64.66042093,32.35349984
-64.66739742,32.358926
-64.68078075,32.36173218
-64.68522622,32.35737567
-64.69142754,32.36396457
-64.70809359,32.35156193
-64.70499293,32.34303511
-64.69491578,32.33993445
-64.67786215,32.3345083
-64.69840402,32.32636906
-64.71700799,32.31551675
-64.74058997,32.3004418
-64.7548722,32.29311758
-64.76390548,32.28257223
-64.78328461,32.26745651
-64.80925264,32.25621662
-64.83405792,32.24807738
-64.84917364,32.24846496
-64.86080112,32.24885255
-64.87630442,32.25776695
-64.88289333,32.27171992
-64.88599399,32.28257223
-64.87663405,32.27891174
-64.8779769,32.28607365
-64.8745484,32.29568129
-64.87979267,32.3054396
-64.8724286,32.30311411
-64.86894036,32.30892785
-64.86428936,32.30311411
-64.85808804,32.29768795
-64.86700244,32.29109905
-64.86980647,32.27978479
-64.87204102,32.27637091
-64.86700244,32.27288267
-64.84878606,32.27094475
-64.84878606,32.26784409
-64.86313075,32.26900757
-64.86428936,32.26241794
-64.85770046,32.25466629
-64.84684815,32.25466629
-64.83289518,32.25970486
-64.82901935,32.26668135
-64.81971737,32.26745651
-64.80305132,32.27598333
-64.78091387,32.28754304
-64.7790212,32.29109905
-64.7945245,32.28954872
-64.80537681,32.29342454
-64.81396733,32.30397842
-64.810834,32.30755938
-64.78014075,32.30341218
-64.76183021,32.31093985
-64.75121009,32.31362539
-64.74026294,32.32404357
-64.73599953,32.32288082
-64.71855832,32.32365598
-64.71390733,32.32946972
-64.70538051,32.33605863
-64.71313216,32.34264753
-64.72463709,32.33878622
-64.73289887,32.33373313
-64.73473871,32.32770225
-64.73948778,32.32869456
-64.74165991,32.33307298
-64.73638712,32.34381028
-64.72202023,32.35251162
-64.71313216,32.36435215
-64.69725501,32.37352123
-64.67609616,32.38865795
