year,month,depth,func,density,oxygen,salinity,temperature
2008,Jan,100,min,-0.196701506221238,-6.79024285714286,-0.12849095238095,-0.336719047619045
2008,Jan,100,max,0.0296508047915225,-2.61839047619048,-0.0252793506493489,0.524987662337665
2008,Jan,100,median,-0.111029923662123,-5.23187777777778,-0.0824578030303016,0.161509090909092
2008,Jan,200,min,-0.0130620749087349,-9.37534603174601,-0.0207353751803794,-0.51142738095238
2008,Jan,200,max,0.134353070728878,-3.7004525252525,0.0385442857142806,0.112357857142857
2008,Jan,200,median,0.0411071768149043,-5.31435714285712,0.0148115295815252,-0.103416363636363
2008,Jan,300,min,0.0238927845520571,-0.668100834879397,-0.0390848299319728,-0.62384336734694
2008,Jan,300,max,0.132430127014874,6.25573896103899,0.0426923809523814,0.0157280519480523
2008,Jan,300,median,0.0493075798686515,2.68006673881675,0.0104238095238074,-0.155016392496393
2008,Jan,400,min,-0.00266904090881326,4.1970190166976,-0.030782671614098,-0.399373729128016
2008,Jan,400,max,0.0948741436376075,11.9758857142857,0.0820403896103912,0.294421168831171
2008,Jan,400,median,0.0190737436141468,8.1788935064935,0.0380684054834077,0.0147088672438667
2008,Jan,500,min,-0.0864830229106417,13.5174595238095,0.0214827293341671,-0.0514895938981574
2008,Jan,500,max,0.0302175401331901,22.5441826839827,0.223852432659946,1.03428658730159
2008,Jan,500,median,-0.0339366056224222,18.3287009379509,0.141180111231371,0.596806829004333
2008,Jan,600,min,-0.115310838731023,-0.455468253968263,-0.016935317460316,-0.116466666666662
2008,Jan,600,max,0.0111193021641114,11.991626984127,0.178949206349202,1.20014761904762
2008,Jan,600,median,-0.0575129418493603,6.89133134920641,0.09325317460317,0.61242261904762
2008,Jan,700,min,-0.109814483339285,-6.749285714286,-0.0851888888889221,-0.485691666666664
2008,Jan,700,max,0.035066575469191,10.3766507936505,0.14027619047615,1.15903015873015
2008,Jan,700,median,-0.049139802431684,5.3743670634917,0.0659285714285218,0.523764682539685
2008,Jan,800,min,-0.0863474704518339,-12.6340952380952,-0.137328571428576,-1.0126119047619
2008,Jan,800,max,0.0787707810818432,-0.494190476190454,0.0950476190476195,0.951757142857142
2008,Jan,800,median,-0.0319815798865601,-4.42204761904762,0.01995476190476,0.283707142857143
2008,Jan,900,min,-0.0696436353983287,-7.99680952380953,-0.0702428571428513,-0.724830952380952
2008,Jan,900,max,0.0741368352647243,4.41066666666666,0.0480428571428604,0.700009523809524
2008,Jan,900,median,-0.0169413053928871,-2.31109523809525,0.0196857142857141,0.25884761904762
2008,Jan,1000,min,-0.0420075857781974,-6.14614285714285,-0.0400857142857163,-0.546083333333334
2008,Jan,1000,max,0.0486842917253227,5.50132142857143,0.0116468253968236,0.387211111111111
2008,Jan,1000,median,-0.0123175901446775,-1.36830952380953,-0.008408730158731,0.0743936507936507
2008,Feb,100,min,-0.222620562181042,-3.9423946093589,-0.0247777698492015,0.0526133241361819
2008,Feb,100,max,0.0193225178199725,-0.509585281385284,0.0691509201116318,0.954026998556998
2008,Feb,100,median,-0.122077572973341,-2.39570909090909,0.02592307359307,0.509998378129808
2008,Feb,200,min,0.0742046516456405,-10.3599136363636,-0.0519934353741505,-0.871554946482092
2008,Feb,200,max,0.225232095840294,0.511926565497987,0.00248895715395747,-0.31951567765568
2008,Feb,200,median,0.132450658393367,-5.41632070826,-0.0176575456289712,-0.578468365285509
2008,Feb,300,min,0.0363526273317589,-1.35709157509157,-0.0360655511155485,-0.533925619222046
2008,Feb,300,max,0.126062833721186,5.23913339041911,0.00059484848485169,-0.210209737484735
2008,Feb,300,median,0.0733280277317299,1.82916125541126,-0.0164017006802695,-0.33646211863533
2008,Feb,400,min,0.0261632474071938,1.93754225932796,-0.0352417451595954,-0.40926445578231
2008,Feb,400,max,0.0736914990128383,10.6938010632225,0.0246395490224103,-0.0914500551829107
2008,Feb,400,median,0.0483655610759879,6.3293702091559,-0.0103325649350587,-0.241576038961039
2008,Feb,500,min,-0.00020164280867618,-2.557475097918,-0.10157920737992,-0.582241287878787
2008,Feb,500,max,0.0602236470908579,8.61009536891677,0.0255501314426354,0.0424445438952574
2008,Feb,500,median,0.0290137537019035,2.36729702172822,-0.0449978341103332,-0.263131562974062
2008,Feb,600,min,-0.0116201912170553,-7.94107142857149,-0.184967460317466,-1.08790476190477
2008,Feb,600,max,0.0780292186150291,3.34571428571425,0.00504404761903743,0.0537457142857178
2008,Feb,600,median,0.0323440319109913,-1.99483333333342,-0.087859206349215,-0.450436984126981
2008,Feb,700,min,-0.00804126602421817,-12.6507674603177,-0.170985714285727,-1.01686365079365
2008,Feb,700,max,0.0891912230025262,-1.16068412698434,0.0127313492063408,-0.0447836507936508
2008,Feb,700,median,0.0396939061331114,-6.89822222222244,-0.075754563492076,-0.535444047619047
2008,Feb,800,min,0.0109270659530907,-8.55961904761904,-0.161780952380951,-1.22513333333333
2008,Feb,800,max,0.10263082588191,0.196733333333327,-0.0250095238095227,-0.239367142857143
2008,Feb,800,median,0.0568278858222264,-4.63289047619048,-0.0918864285714314,-0.760747619047619
2008,Feb,900,min,0.0245306590114289,1.99501428571426,-0.0774761904761974,-1.08352380952381
2008,Feb,900,max,0.106614362169594,13.4230476190476,-0.00723428571428997,-0.237685714285715
2008,Feb,900,median,0.0644140097551578,7.76137142857141,-0.0427533333333372,-0.665488095238096
2008,Feb,1000,min,0.0177578493351902,2.57281746031748,-0.0231619047619063,-0.687538095238096
2008,Feb,1000,max,0.0829347723118268,17.5326071428572,0.018523968253966,-0.026844761904762
