type,longitude,latitude,amplitude,effective_radius,speed_average,distance,n
anticyclonic,-64.1813485907023,31.7422958984367,0.0526287637968956,0.587589195074701,0.161807550272101,0.750996371420001,164
cyclonic,-64.1466287039967,31.5857129994632,0.0556616303632516,0.591190918013356,0.173265298870898,0.744060908224641,166
