type,longitude,latitude,amplitude,effective_radius,speed_average,n
anticyclonic,-64.2230675321885,31.7742763460946,0.0504128623393456,0.577352471005421,0.15841558740054,192
cyclonic,-64.1429146172017,31.6292318793358,0.0511455406690249,0.565263922922404,0.166131182258934,201
