type,date,year,month,day,observation_number,track,latitude,longitude,amplitude,speed_average,effective_radius,lat_origin,long_origin
anticyclonic,1993-01-16,1993,1,16,15,338,31.2205451227004,-72.5405421103201,0.163096774193548,0.315522580645161,1.06412415435092,30.7771396636963,-71.949951171875
anticyclonic,1993-02-14,1993,2,14.5,44.5,338,31.682487147195,-73.3638076782227,0.121064285714286,0.306514285714286,0.791725601131542,30.7771396636963,-71.949951171875
anticyclonic,1993-03-16,1993,3,16,74,338,31.4666054018082,-73.7889227098034,0.109954838709677,0.344183870967742,0.733384628785459,30.7771396636963,-71.949951171875
anticyclonic,1993-04-15,1993,4,15.5,104.5,338,31.1300658543905,-73.2936726888021,0.129803333333333,0.370096666666667,0.63943894389439,30.7771396636963,-71.949951171875
anticyclonic,1993-05-16,1993,5,16,135,338,29.7194791609241,-73.842293031754,0.172548387096774,0.346835483870968,1.04198484364565,30.7771396636963,-71.949951171875
anticyclonic,1993-06-07,1993,6,7.5,157.5,338,29.1118189947946,-74.062994820731,0.151492857142857,0.338935714285714,0.927382023916677,30.7771396636963,-71.949951171875
anticyclonic,1993-01-10,1993,1,10,9,389,31.9820754402562,-69.8746916118421,0.0634842105263158,0.190936842105263,0.64444075986546,32.2815208435059,-69.3988647460938
anticyclonic,1993-01-06,1993,1,6,5,1349,28.4552007154985,-54.6966857910156,0.0238636363636364,0.110409090909091,0.493003845839129,28.4510364532471,-54.5057067871094
anticyclonic,1993-01-16,1993,1,16,15,1424,28.8510970454062,-69.1148740706905,0.0364451612903226,0.117725806451613,0.786925466740223,29.0155830383301,-68.3879089355469
anticyclonic,1993-02-14,1993,2,14.5,44.5,1424,28.1371440887451,-69.8337260654995,0.0594214285714286,0.211832142857143,0.696187475890446,29.0155830383301,-68.3879089355469
anticyclonic,1993-03-03,1993,3,3.5,61.5,1424,27.7949876785278,-70.2330627441406,0.0649166666666667,0.24645,0.607935793579358,29.0155830383301,-68.3879089355469
anticyclonic,1993-01-08,1993,1,8.5,7.5,1426,30.332195520401,-68.4428997039795,0.0163625,0.09550625,0.362483123312331,30.3235530853272,-68.0189819335938
anticyclonic,1993-01-14,1993,1,14.5,13.5,1428,34.8505370276315,-63.365727015904,0.0403392857142857,0.167328571428571,0.45972097209721,34.7682418823242,-62.3339233398438
anticyclonic,1993-01-16,1993,1,16,15,1600,33.1387255268712,-63.6985778808594,0.0534645161290323,0.189838709677419,0.654931622194478,33.0912666320801,-62.9953918457031
anticyclonic,1993-02-05,1993,2,5,35,1600,33.2041748894586,-64.6146308051215,0.0601222222222222,0.233022222222222,0.398739873987399,33.0912666320801,-62.9953918457031
anticyclonic,1993-01-06,1993,1,6.5,5.5,1789,28.0209275881449,-64.5718510945638,0.0369416666666667,0.105641666666667,0.905378037803781,27.7855396270752,-64.4339904785156
anticyclonic,1993-01-09,1993,1,9.5,8.5,1915,32.39038933648,-59.4307929144965,0.0302722222222222,0.12035,0.486948694869487,32.6970024108887,-59.3029479980469
anticyclonic,1993-01-14,1993,1,14.5,13.5,2040,34.0703751700265,-69.4615075247628,0.0684785714285714,0.235457142857143,0.553844670181304,34.0528793334961,-68.572998046875
anticyclonic,1993-01-16,1993,1,16,15,2157,31.9003029484903,-55.4675686743952,0.0749,0.195151612903226,0.719491303969107,32.1688461303711,-54.6073608398438
anticyclonic,1993-02-14,1993,2,14.5,44.5,2157,31.3888023921422,-57.4426977975028,0.0268678571428571,0.119517857142857,0.462356949980712,32.1688461303711,-54.6073608398438
anticyclonic,1993-03-16,1993,3,16,74,2157,30.9512988059752,-59.0820794874622,0.0472483870967742,0.158025806451613,0.605775093638396,32.1688461303711,-54.6073608398438
anticyclonic,1993-04-15,1993,4,15.5,104.5,2157,30.6871660868327,-60.7637715657552,0.0695666666666667,0.19959,0.767026702670267,32.1688461303711,-54.6073608398438
anticyclonic,1993-05-16,1993,5,16,135,2157,30.5380552968671,-62.038573234312,0.121354838709677,0.232558064516129,1.22500798466943,32.1688461303711,-54.6073608398438
anticyclonic,1993-06-15,1993,6,15.5,165.5,2157,30.6102277755737,-62.7265258789063,0.15627,0.253866666666667,1.20352535253525,32.1688461303711,-54.6073608398438
anticyclonic,1993-07-16,1993,7,16,196,2157,30.4537504257694,-63.1535939862651,0.206906451612903,0.218435483870968,1.72673557678349,32.1688461303711,-54.6073608398438
anticyclonic,1993-08-16,1993,8,16,227,2157,30.3693353591427,-64.2195129394531,0.117438709677419,0.202135483870968,1.34994628495108,32.1688461303711,-54.6073608398438
anticyclonic,1993-09-15,1993,9,15.5,257.5,2157,29.9447035471598,-65.6107849121094,0.13537,0.20889,1.42907290729073,32.1688461303711,-54.6073608398438
anticyclonic,1993-10-16,1993,10,16,288,2157,29.6621051296111,-66.7966643302671,0.100083870967742,0.192564516129032,0.99825789030516,32.1688461303711,-54.6073608398438
anticyclonic,1993-11-15,1993,11,15.5,318.5,2157,29.3268595377604,-68.1258646647136,0.08889,0.193803333333333,0.977872787278728,32.1688461303711,-54.6073608398438
anticyclonic,1993-12-16,1993,12,16,349,2157,28.9420386898902,-69.5719023673765,0.0826870967741936,0.187370967741936,0.880346099126042,32.1688461303711,-54.6073608398438
anticyclonic,1994-01-16,1994,1,16,380,2157,28.7604077246881,-71.421877953314,0.0459709677419355,0.150483870967742,0.628872564675822,32.1688461303711,-54.6073608398438
anticyclonic,1994-02-14,1994,2,14.5,409.5,2157,28.970269884382,-72.4294553484236,0.104917857142857,0.219539285714286,0.960958595859586,32.1688461303711,-54.6073608398438
