month,depth,pressure,temperature,salinity,density,oxygen,fluorescence,BAC,PAR
1,950,958.558490566038,7.98742264150943,35.1674,27.4204921252655,172.095698113208,0.371551724137931,0.0195489361702128,0
1,960,969,7.81415408805031,35.1584899371069,27.4396200152685,174.875371069182,0.371365517241379,0.0196808510638298,0
1,970,979.433962264151,7.64936226415094,35.151241509434,27.4585563086631,177.685018867925,0.371248275862069,0.0190723404255319,0
1,980,989.433962264151,7.50481509433962,35.1457773584906,27.4755415491086,180.282075471698,0.371041379310345,0.0200212765957447,0
1,990,999.433962264151,7.37061509433962,35.1409132075472,27.4912163220031,182.792981132076,0.370986206896552,0.0195148936170213,0
1,1000,1009.33962264151,7.2382427672956,35.1361672955975,27.5066241097155,185.306547169811,0.370703448275862,0.0195808510638298,0
1,1010,1019.46,7.111912,35.132448,27.5216611880046,187.7398,0.368978571428571,0.0199822222222222,0
1,1020,1029.46,6.979604,35.127964,27.5367855263552,190.35716,0.3688,0.0197644444444444,0
1,1030,1039.46,6.85832,35.12324,27.5500337725839,192.77228,0.368678571428571,0.0199511111111111,0
1,1040,1050,6.740426,35.1190786666667,27.5630776456484,195.180133333333,0.368414285714286,0.0192740740740741,0
1,1050,1060.54,6.627564,35.115552,27.575774280486,197.65536,0.368264285714286,0.0192888888888889,0
1,1060,1070.54,6.532468,35.11342,27.5869899681733,199.87168,0.367992857142857,0.0198444444444444,0
1,1070,1080.54,6.444944,35.110616,27.5965548283457,201.95688,0.367807142857143,0.0203155555555556,0
1,1080,1090.54,6.355848,35.108092,27.6065949164228,203.89776,0.367592857142857,0.0200311111111111,0
1,1090,1100.54,6.262324,35.105804,27.6172581245848,206.1862,0.367378571428571,0.0198488888888889,0
1,1100,1110.54,6.182004,35.103264,27.6257635412584,208.30328,0.367328571428571,0.01948,0
1,1110,1120.54,6.100964,35.10052,27.6341495570784,210.3564,0.367285714285714,0.0197955555555556,0
1,1120,1130.98,6.03035133333333,35.099134,27.6422038532024,212.249546666667,0.36709880952381,0.0195074074074074,0
1,1130,1141.44,5.96489333333333,35.0970846666667,27.648986352888,213.98922,0.36699880952381,0.0192007407407407,0
1,1140,1151.46,5.903248,35.095232,27.6553693140047,215.60708,0.3669,0.0196488888888889,0
1,1150,1161.46,5.83858,35.093408,27.6621920806846,217.3772,0.366764285714286,0.0188088888888889,0
1,1160,1171.46,5.780844,35.091672,27.6681294420668,219.01704,0.366757142857143,0.0195066666666667,0
1,1170,1181.46,5.719352,35.089632,27.674276948212,220.71076,0.366685714285714,0.0193866666666667,0
1,1180,1191.46,5.659956,35.08712,27.6797303937599,222.44472,0.366592857142857,0.0193733333333333,0
1,1190,1201.46,5.602612,35.084256,27.6846058783146,224.06496,0.366514285714286,0.0191022222222222,0
1,1200,1210.74,5.55395566666667,35.0815803333333,27.6884880330208,225.45666,0.36647619047619,0.0198625925925926,0
1,1210,1222.59259259259,5.42088148148148,35.0756222222222,27.7002098202143,228.067555555556,0.368466666666667,0.0223454545454545,
1,1220,1232.59259259259,5.3725037037037,35.0732592592593,27.7042307901023,229.221555555556,0.368355555555556,0.0221,
1,1230,1242.59259259259,5.3213037037037,35.0708296296296,27.7085630786755,230.663111111111,0.368422222222222,0.0231636363636364,
1,1240,1252.59259259259,5.28566666666667,35.0703481481482,27.7125668317142,231.783407407407,0.368466666666667,0.0217727272727273,
1,1250,1262.59259259259,5.2392,35.0672592592593,27.7157062794011,233.070222222222,0.368555555555556,0.0228,
1,1260,1272.59259259259,5.19662222222222,35.0642962962963,27.7184637192681,234.291555555556,0.3684,0.0228909090909091,
1,1270,1282.59259259259,5.15725925925926,35.0624814814815,27.7217794289382,235.401407407407,0.3686,0.0221090909090909,
1,1280,1293,5.12103086419753,35.0611617283951,27.7250967794919,236.497333333333,0.368866666666667,0.0227015151515152,
1,1290,1303.40740740741,5.08605925925926,35.0599777777778,27.7283371174979,237.435777777778,0.368622222222222,0.0239818181818182,
1,1300,1313.40740740741,5.04918518518519,35.0578148148148,27.7309827645969,238.287777777778,0.368511111111111,0.0225363636363636,
1,1310,1323.42307692308,5.01913076923077,35.0562461538462,27.7333004439127,238.947538461539,0.368511111111111,0.0237428571428571,
1,1320,1333.42307692308,4.98638461538462,35.0547384615385,27.7359678869004,239.758384615385,0.368422222222222,0.0228571428571429,
1,1330,1343.42307692308,4.95545384615385,35.0530923076923,27.7383001034112,240.445615384615,0.368244444444444,0.0229333333333333,
1,1340,1353.42307692308,4.92516923076923,35.0515692307692,27.7406177341842,241.212846153846,0.368244444444444,0.0236666666666667,
1,1350,1363.42307692308,4.89601538461539,35.0503153846154,27.7430253134777,241.931307692308,0.367911111111111,0.0231809523809524,
1,1360,1374,4.87191025641026,35.0503051282051,27.7458633099811,242.499615384615,0.36797037037037,0.0230015873015873,
